Juegos{game='The Book of Unwritten Tales', platform='PC', developer='KING Art', genre='Adventure', numberPlayers='', rating='T', releaseDate='Oct 28, 2011', positiveCritics=28, neutralCritics=4, negativeCritics=0, positiveUsers=31, neutralUsers=4, negativeUsers=2, metascore=82.0, userScore=83.0}
Juegos{game='Gemini Rue', platform='PC', developer='Wadjet Eye Games, Joshua Nuernberger', genre='Adventure', numberPlayers='', rating='', releaseDate='Feb 24, 2011', positiveCritics=21, neutralCritics=3, negativeCritics=0, positiveUsers=40, neutralUsers=7, negativeUsers=3, metascore=82.0, userScore=84.0}
Juegos{game='Runaway: A Twist of Fate', platform='PC', developer='Pendulo Studios', genre='Adventure', numberPlayers='1 Player', rating='T', releaseDate='Apr 21, 2011', positiveCritics=13, neutralCritics=2, negativeCritics=0, positiveUsers=4, neutralUsers=2, negativeUsers=0, metascore=79.0, userScore=79.0}
Juegos{game=''Hamilton''s Great Adventure'', platform='PC', developer='Fatshark AB', genre='Adventure', numberPlayers='No Online Multiplayer', rating='E', releaseDate='May 31, 2011', positiveCritics=7, neutralCritics=3, negativeCritics=0, positiveUsers=6, neutralUsers=2, negativeUsers=0, metascore=77.0, userScore=74.0}
Juegos{game='Black Mirror III: Final Fear', platform='PC', developer='DTP Entertainment, Cranberry Production', genre='Adventure', numberPlayers='', rating='M', releaseDate='Apr 19, 2011', positiveCritics=10, neutralCritics=5, negativeCritics=0, positiveUsers=2, neutralUsers=0, negativeUsers=1, metascore=75.0, userScore=79.0}
Juegos{game='The Next Big Thing', platform='PC', developer='Pendulo Studios', genre='Adventure', numberPlayers='', rating='E10+', releaseDate='Apr 21, 2011', positiveCritics=20, neutralCritics=10, negativeCritics=0, positiveUsers=4, neutralUsers=1, negativeUsers=1, metascore=75.0, userScore=77.0}
Juegos{game='Space Pirates and Zombies', platform='PC', developer='MinMax Games Ltd.', genre='Adventure', numberPlayers='', rating='', releaseDate='Jun 19, 2011', positiveCritics=6, neutralCritics=6, negativeCritics=0, positiveUsers=37, neutralUsers=20, negativeUsers=3, metascore=74.0, userScore=76.0}
Juegos{game='The Blackwell Deception', platform='PC', developer='Wadjet Eye Games', genre='Adventure', numberPlayers='', rating='', releaseDate='Oct 12, 2011', positiveCritics=5, neutralCritics=5, negativeCritics=0, positiveUsers=4, neutralUsers=0, negativeUsers=0, metascore=73.0, userScore=78.0}
Juegos{game='Gray Matter', platform='PC', developer='Wizarbox', genre='Adventure', numberPlayers='', rating='T', releaseDate='Feb 22, 2011', positiveCritics=17, neutralCritics=9, negativeCritics=1, positiveUsers=10, neutralUsers=3, negativeUsers=2, metascore=72.0, userScore=77.0}
Juegos{game='Black Mirror II: Reigning Evil', platform='PC', developer='Cranberry Studios', genre='Adventure', numberPlayers='', rating='T', releaseDate='Feb  8, 2011', positiveCritics=7, neutralCritics=6, negativeCritics=1, positiveUsers=4, neutralUsers=1, negativeUsers=1, metascore=71.0, userScore=77.0}
Juegos{game='The Tiny Bang Story', platform='PC', developer='Colibri Games', genre='Adventure', numberPlayers='1 Player', rating='', releaseDate='Apr 22, 2011', positiveCritics=3, neutralCritics=7, negativeCritics=2, positiveUsers=8, neutralUsers=7, negativeUsers=4, metascore=63.0, userScore=72.0}
Juegos{game='The Adventures of Tintin: The Game', platform='3DS', developer='Ubisoft Montpellier', genre='Adventure', numberPlayers='', rating='E10+', releaseDate='Dec  6, 2011', positiveCritics=0, neutralCritics=6, negativeCritics=2, positiveUsers=0, neutralUsers=0, negativeUsers=0, metascore=56.0, userScore=52.0}
Juegos{game='Edna & Harvey: The Breakout', platform='PC', developer='Daedalic Entertainment', genre='Adventure', numberPlayers='1 Player', rating='T', releaseDate='Jan  3, 2011', positiveCritics=0, neutralCritics=6, negativeCritics=1, positiveUsers=4, neutralUsers=4, negativeUsers=0, metascore=56.0, userScore=65.0}
Juegos{game='Jurassic Park: The Game', platform='PC', developer='Telltale Games', genre='Adventure', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Nov 15, 2011', positiveCritics=2, neutralCritics=21, negativeCritics=11, positiveUsers=23, neutralUsers=16, negativeUsers=37, metascore=54.0, userScore=46.0}
Juegos{game='Alpha Polaris: A Horror Adventure Game', platform='PC', developer='Turmoil Games', genre='Adventure', numberPlayers='No Online Multiplayer', rating='', releaseDate='Jun 24, 2011', positiveCritics=0, neutralCritics=5, negativeCritics=3, positiveUsers=0, neutralUsers=2, negativeUsers=0, metascore=52.0, userScore=46.0}
Juegos{game=''Zero Escape: Virtue''s Last Reward'', platform='3DS', developer='ChunSoft', genre='Adventure', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Oct 23, 2012', positiveCritics=14, neutralCritics=1, negativeCritics=0, positiveUsers=40, neutralUsers=4, negativeUsers=5, metascore=88.0, userScore=88.0}
Juegos{game='Thirty Flights of Loving', platform='PC', developer='Blendo Games', genre='Adventure', numberPlayers='', rating='', releaseDate='Aug 20, 2012', positiveCritics=10, neutralCritics=0, negativeCritics=0, positiveUsers=20, neutralUsers=14, negativeUsers=35, metascore=88.0, userScore=50.0}
Juegos{game=''Zero Escape: Virtue''s Last Reward'', platform='VITA', developer='ChunSoft', genre='Adventure', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Oct 23, 2012', positiveCritics=28, neutralCritics=4, negativeCritics=0, positiveUsers=49, neutralUsers=2, negativeUsers=2, metascore=84.0, userScore=88.0}
Juegos{game='Superbrothers: Sword & Sworcery EP', platform='PC', developer='Capy Games', genre='Adventure', numberPlayers='No Online Multiplayer', rating='', releaseDate='Apr 16, 2012', positiveCritics=7, neutralCritics=3, negativeCritics=0, positiveUsers=25, neutralUsers=15, negativeUsers=29, metascore=83.0, userScore=64.0}
Juegos{game='Botanicula', platform='PC', developer='Amanita Design', genre='Adventure', numberPlayers='', rating='', releaseDate='Apr 19, 2012', positiveCritics=32, neutralCritics=6, negativeCritics=0, positiveUsers=52, neutralUsers=8, negativeUsers=3, metascore=82.0, userScore=83.0}
Juegos{game='The Cat Lady', platform='PC', developer='Harvester Games', genre='Adventure', numberPlayers='', rating='', releaseDate='Dec  7, 2012', positiveCritics=9, neutralCritics=2, negativeCritics=0, positiveUsers=39, neutralUsers=6, negativeUsers=5, metascore=81.0, userScore=87.0}
