Juegos{game='Bravely Default', platform='3DS', developer='Silicon Studio', genre='Console-style RPG', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Feb  7, 2014', positiveCritics=64, neutralCritics=3, negativeCritics=0, positiveUsers=89, neutralUsers=21, negativeUsers=17, metascore=85.0, userScore=85.0}
Juegos{game='The Legend of Heroes: Trails in the Sky SC', platform='PC', developer='Falcom', genre='Console-style RPG', numberPlayers='No Online Multiplayer', rating='RP', releaseDate='Oct 29, 2015', positiveCritics=6, neutralCritics=1, negativeCritics=0, positiveUsers=5, neutralUsers=0, negativeUsers=0, metascore=80.0, userScore=86.0}
Juegos{game='Atelier Ayesha Plus: The Alchemist of Dusk', platform='VITA', developer='Gust', genre='Console-style RPG', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Jan 13, 2015', positiveCritics=10, neutralCritics=10, negativeCritics=0, positiveUsers=7, neutralUsers=0, negativeUsers=0, metascore=76.0, userScore=84.0}
Juegos{game='Omega Quintet', platform='PS4', developer='Compile Heart', genre='Console-style RPG', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Apr 28, 2015', positiveCritics=2, neutralCritics=17, negativeCritics=3, positiveUsers=5, neutralUsers=6, negativeUsers=2, metascore=58.0, userScore=70.0}
Juegos{game='Cosmic Star Heroine', platform='PC', developer='Zeboyd Games', genre='Console-style RPG', numberPlayers='No Online Multiplayer', rating='', releaseDate='Apr 11, 2017', positiveCritics=7, neutralCritics=1, negativeCritics=0, positiveUsers=2, neutralUsers=1, negativeUsers=2, metascore=77.0, userScore=68.0}
Juegos{game='Cosmic Star Heroine', platform='PS4', developer='Zeboyd Games', genre='Console-style RPG', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Apr 11, 2017', positiveCritics=6, neutralCritics=2, negativeCritics=0, positiveUsers=7, neutralUsers=2, negativeUsers=0, metascore=76.0, userScore=73.0}
Juegos{game='Bravely Default', platform='3DS', developer='Silicon Studio', genre='Console-style RPG', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Feb  7, 2014', positiveCritics=64, neutralCritics=3, negativeCritics=0, positiveUsers=89, neutralUsers=21, negativeUsers=17, metascore=85.0, userScore=85.0}
Juegos{game='The Legend of Heroes: Trails in the Sky SC', platform='PC', developer='Falcom', genre='Console-style RPG', numberPlayers='No Online Multiplayer', rating='RP', releaseDate='Oct 29, 2015', positiveCritics=6, neutralCritics=1, negativeCritics=0, positiveUsers=5, neutralUsers=0, negativeUsers=0, metascore=80.0, userScore=86.0}
Juegos{game='Atelier Ayesha Plus: The Alchemist of Dusk', platform='VITA', developer='Gust', genre='Console-style RPG', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Jan 13, 2015', positiveCritics=10, neutralCritics=10, negativeCritics=0, positiveUsers=7, neutralUsers=0, negativeUsers=0, metascore=76.0, userScore=84.0}
Juegos{game='Omega Quintet', platform='PS4', developer='Compile Heart', genre='Console-style RPG', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Apr 28, 2015', positiveCritics=2, neutralCritics=17, negativeCritics=3, positiveUsers=5, neutralUsers=6, negativeUsers=2, metascore=58.0, userScore=70.0}
Juegos{game='Cosmic Star Heroine', platform='PC', developer='Zeboyd Games', genre='Console-style RPG', numberPlayers='No Online Multiplayer', rating='', releaseDate='Apr 11, 2017', positiveCritics=7, neutralCritics=1, negativeCritics=0, positiveUsers=2, neutralUsers=1, negativeUsers=2, metascore=77.0, userScore=68.0}
Juegos{game='Cosmic Star Heroine', platform='PS4', developer='Zeboyd Games', genre='Console-style RPG', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Apr 11, 2017', positiveCritics=6, neutralCritics=2, negativeCritics=0, positiveUsers=7, neutralUsers=2, negativeUsers=0, metascore=76.0, userScore=73.0}
