Juegos{game='DiRT 3', platform='PC', developer='Codemasters', genre='Driving', numberPlayers='', rating='T', releaseDate='May 23, 2011', positiveCritics=21, neutralCritics=2, negativeCritics=0, positiveUsers=48, neutralUsers=30, negativeUsers=31, metascore=86.0, userScore=70.0}
Juegos{game='Mario Kart 7', platform='3DS', developer='Retro Studios, Entertainment Analysis & Development Division', genre='Driving', numberPlayers='Up to 8 ', rating='E', releaseDate='Dec  4, 2011', positiveCritics=64, neutralCritics=9, negativeCritics=0, positiveUsers=157, neutralUsers=45, negativeUsers=7, metascore=85.0, userScore=83.0}
Juegos{game='Shift 2: Unleashed', platform='PC', developer='Slightly Mad Studios', genre='Driving', numberPlayers='', rating='E10+', releaseDate='Mar 29, 2011', positiveCritics=23, neutralCritics=1, negativeCritics=0, positiveUsers=29, neutralUsers=14, negativeUsers=37, metascore=84.0, userScore=62.0}
Juegos{game='F1 2011', platform='PC', developer='Codemasters', genre='Driving', numberPlayers='', rating='E', releaseDate='Sep 19, 2011', positiveCritics=8, neutralCritics=2, negativeCritics=0, positiveUsers=8, neutralUsers=3, negativeUsers=4, metascore=83.0, userScore=71.0}
Juegos{game='TrackMania 2 Canyon', platform='PC', developer='Nadeo', genre='Driving', numberPlayers='', rating='E', releaseDate='Sep 14, 2011', positiveCritics=30, neutralCritics=7, negativeCritics=0, positiveUsers=11, neutralUsers=3, negativeUsers=6, metascore=81.0, userScore=77.0}
Juegos{game='Driver: San Francisco', platform='PC', developer='Ubisoft Reflections', genre='Driving', numberPlayers='', rating='T', releaseDate='Sep 27, 2011', positiveCritics=10, neutralCritics=1, negativeCritics=0, positiveUsers=37, neutralUsers=16, negativeUsers=13, metascore=80.0, userScore=71.0}
Juegos{game='Ridge Racer 3D', platform='3DS', developer='Namco Bandai Games', genre='Driving', numberPlayers='', rating='E', releaseDate='Mar 22, 2011', positiveCritics=33, neutralCritics=26, negativeCritics=0, positiveUsers=15, neutralUsers=9, negativeUsers=2, metascore=75.0, userScore=73.0}
Juegos{game='Test Drive Unlimited 2', platform='PC', developer='Eden', genre='Driving', numberPlayers='', rating='T', releaseDate='Feb  8, 2011', positiveCritics=10, neutralCritics=9, negativeCritics=0, positiveUsers=26, neutralUsers=22, negativeUsers=39, metascore=72.0, userScore=57.0}
Juegos{game='Need for Speed: The Run', platform='PC', developer='Black Box', genre='Driving', numberPlayers='', rating='T', releaseDate='Nov 15, 2011', positiveCritics=8, neutralCritics=10, negativeCritics=0, positiveUsers=32, neutralUsers=19, negativeUsers=32, metascore=69.0, userScore=60.0}
Juegos{game='Need for Speed: The Run', platform='3DS', developer='Firebrand Games', genre='Driving', numberPlayers='Up to 4 ', rating='E10+', releaseDate='Nov 15, 2011', positiveCritics=1, neutralCritics=7, negativeCritics=1, positiveUsers=2, neutralUsers=0, negativeUsers=0, metascore=65.0, userScore=63.0}
Juegos{game='Off-Road Drive', platform='PC', developer='Avalon Style', genre='Driving', numberPlayers='', rating='', releaseDate='Sep 29, 2011', positiveCritics=1, neutralCritics=8, negativeCritics=1, positiveUsers=2, neutralUsers=0, negativeUsers=1, metascore=60.0, userScore=65.0}
Juegos{game='F1 2011', platform='3DS', developer='Codemasters', genre='Driving', numberPlayers='', rating='E', releaseDate='Dec  6, 2011', positiveCritics=1, neutralCritics=9, negativeCritics=5, positiveUsers=2, neutralUsers=1, negativeUsers=0, metascore=59.0, userScore=64.0}
