Juegos{game='Magicka: Vietnam', platform='PC', developer='Arrowhead Game Studios', genre='Fantasy', numberPlayers='', rating='T', releaseDate='Apr 12, 2011', positiveCritics=2, neutralCritics=5, negativeCritics=1, positiveUsers=2, neutralUsers=2, negativeUsers=0, metascore=60.0, userScore=67.0}
Juegos{game='World of Warcraft: Mists of Pandaria', platform='PC', developer='Blizzard Entertainment', genre='Fantasy', numberPlayers='Massively Multiplayer', rating='T', releaseDate='Sep 25, 2012', positiveCritics=38, neutralCritics=4, negativeCritics=0, positiveUsers=146, neutralUsers=36, negativeUsers=227, metascore=82.0, userScore=50.0}
Juegos{game='Magicka: Vietnam', platform='PC', developer='Arrowhead Game Studios', genre='Fantasy', numberPlayers='', rating='T', releaseDate='Apr 12, 2011', positiveCritics=2, neutralCritics=5, negativeCritics=1, positiveUsers=2, neutralUsers=2, negativeUsers=0, metascore=60.0, userScore=67.0}
Juegos{game='World of Warcraft: Mists of Pandaria', platform='PC', developer='Blizzard Entertainment', genre='Fantasy', numberPlayers='Massively Multiplayer', rating='T', releaseDate='Sep 25, 2012', positiveCritics=38, neutralCritics=4, negativeCritics=0, positiveUsers=146, neutralUsers=36, negativeUsers=227, metascore=82.0, userScore=50.0}
Juegos{game='Max: The Curse of Brotherhood', platform='XONE', developer='Press Play', genre='Fantasy', numberPlayers='', rating='E10+', releaseDate='Dec 20, 2013', positiveCritics=26, neutralCritics=25, negativeCritics=0, positiveUsers=55, neutralUsers=10, negativeUsers=3, metascore=72.0, userScore=74.0}
Juegos{game='Middle-earth: Shadow of Mordor', platform='XONE', developer='Monolith Productions', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Sep 30, 2014', positiveCritics=12, neutralCritics=0, negativeCritics=0, positiveUsers=128, neutralUsers=23, negativeUsers=8, metascore=87.0, userScore=80.0}
Juegos{game='Final Fantasy XIV Online: A Realm Reborn', platform='PS4', developer='Square Enix', genre='Fantasy', numberPlayers='Up to 64 ', rating='T', releaseDate='Apr 14, 2014', positiveCritics=33, neutralCritics=2, negativeCritics=0, positiveUsers=43, neutralUsers=11, negativeUsers=17, metascore=86.0, userScore=73.0}
Juegos{game='Middle-earth: Shadow of Mordor', platform='PC', developer='Monolith Productions', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Sep 30, 2014', positiveCritics=14, neutralCritics=3, negativeCritics=0, positiveUsers=270, neutralUsers=90, negativeUsers=40, metascore=84.0, userScore=79.0}
Juegos{game='Middle-earth: Shadow of Mordor', platform='PS4', developer='Monolith Productions', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Sep 30, 2014', positiveCritics=77, neutralCritics=8, negativeCritics=0, positiveUsers=395, neutralUsers=91, negativeUsers=42, metascore=84.0, userScore=80.0}
Juegos{game='The Wolf Among Us: Episode 5 - Cry Wolf', platform='PC', developer='Telltale Games', genre='Fantasy', numberPlayers='', rating='M', releaseDate='Jul  8, 2014', positiveCritics=27, neutralCritics=6, negativeCritics=0, positiveUsers=35, neutralUsers=3, negativeUsers=1, metascore=84.0, userScore=88.0}
Juegos{game='The Wolf Among Us: Episode 3 - A Crooked Mile', platform='PC', developer='Telltale Games', genre='Fantasy', numberPlayers='', rating='M', releaseDate='Apr  8, 2014', positiveCritics=31, neutralCritics=7, negativeCritics=0, positiveUsers=21, neutralUsers=2, negativeUsers=1, metascore=82.0, userScore=86.0}
Juegos{game='Age of Wonders III - Golden Realms', platform='PC', developer='Triumph Studios', genre='Fantasy', numberPlayers='', rating='', releaseDate='Sep 18, 2014', positiveCritics=6, neutralCritics=2, negativeCritics=0, positiveUsers=10, neutralUsers=0, negativeUsers=1, metascore=82.0, userScore=86.0}
Juegos{game='Disgaea 4: A Promise Revisited', platform='VITA', developer='Nippon Ichi Software', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Aug 12, 2014', positiveCritics=28, neutralCritics=4, negativeCritics=0, positiveUsers=9, neutralUsers=1, negativeUsers=0, metascore=82.0, userScore=81.0}
Juegos{game='Strider', platform='PS4', developer='Double Helix Games', genre='Fantasy', numberPlayers='', rating='E10+', releaseDate='Feb 18, 2014', positiveCritics=24, neutralCritics=14, negativeCritics=0, positiveUsers=19, neutralUsers=12, negativeUsers=3, metascore=77.0, userScore=71.0}
Juegos{game='Strider', platform='XONE', developer='Double Helix Games', genre='Fantasy', numberPlayers='', rating='E10+', releaseDate='Feb 19, 2014', positiveCritics=16, neutralCritics=10, negativeCritics=0, positiveUsers=9, neutralUsers=3, negativeUsers=1, metascore=76.0, userScore=70.0}
Juegos{game='The Wolf Among Us: Episode 2 - Smoke and Mirrors', platform='PC', developer='Telltale Games', genre='Fantasy', numberPlayers='', rating='M', releaseDate='Feb  4, 2014', positiveCritics=26, neutralCritics=17, negativeCritics=0, positiveUsers=32, neutralUsers=9, negativeUsers=2, metascore=76.0, userScore=83.0}
Juegos{game=''The Wolf Among Us: Episode 4 - In Sheep''s Clothing'', platform='PC', developer='Telltale Games', genre='Fantasy', numberPlayers='', rating='M', releaseDate='May 27, 2014', positiveCritics=16, neutralCritics=13, negativeCritics=0, positiveUsers=16, neutralUsers=3, negativeUsers=2, metascore=75.0, userScore=82.0}
Juegos{game='Might & Magic X: Legacy', platform='PC', developer='Limbic Entertainment', genre='Fantasy', numberPlayers='', rating='', releaseDate='Jan 23, 2014', positiveCritics=18, neutralCritics=26, negativeCritics=0, positiveUsers=61, neutralUsers=15, negativeUsers=25, metascore=71.0, userScore=73.0}
Juegos{game='The LEGO Movie Videogame', platform='PS4', developer='TT Games', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='E10+', releaseDate='Feb  7, 2014', positiveCritics=10, neutralCritics=21, negativeCritics=0, positiveUsers=16, neutralUsers=1, negativeUsers=1, metascore=71.0, userScore=71.0}
Juegos{game='Thief', platform='PC', developer='Nixxes Software', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Feb 25, 2014', positiveCritics=19, neutralCritics=16, negativeCritics=2, positiveUsers=142, neutralUsers=96, negativeUsers=104, metascore=70.0, userScore=59.0}
