Juegos{game='Infestation: Survivor Stories (The War Z)', platform='PC', developer='Hammerpoint Interactive', genre='Massively Multiplayer Online', numberPlayers='', rating='M', releaseDate='Oct 15, 2012', positiveCritics=0, neutralCritics=0, negativeCritics=13, positiveUsers=215, neutralUsers=82, negativeUsers=1304, metascore=20.0, userScore=17.0}
Juegos{game='Infestation: Survivor Stories (The War Z)', platform='PC', developer='Hammerpoint Interactive', genre='Massively Multiplayer Online', numberPlayers='', rating='M', releaseDate='Oct 15, 2012', positiveCritics=0, neutralCritics=0, negativeCritics=13, positiveUsers=215, neutralUsers=82, negativeUsers=1304, metascore=20.0, userScore=17.0}
Juegos{game='Defiance', platform='PC', developer='Trion Worlds', genre='Massively Multiplayer Online', numberPlayers='', rating='M', releaseDate='Apr  2, 2013', positiveCritics=5, neutralCritics=33, negativeCritics=2, positiveUsers=144, neutralUsers=44, negativeUsers=75, metascore=64.0, userScore=66.0}
Juegos{game='Final Fantasy XIV: Heavensward', platform='PC', developer='Square Enix', genre='Massively Multiplayer Online', numberPlayers='', rating='T', releaseDate='Jun 23, 2015', positiveCritics=14, neutralCritics=0, negativeCritics=0, positiveUsers=27, neutralUsers=3, negativeUsers=5, metascore=86.0, userScore=84.0}
Juegos{game='Final Fantasy XIV: Heavensward', platform='PS4', developer='Square Enix', genre='Massively Multiplayer Online', numberPlayers='', rating='T', releaseDate='Jun 23, 2015', positiveCritics=18, neutralCritics=2, negativeCritics=0, positiveUsers=24, neutralUsers=4, negativeUsers=5, metascore=86.0, userScore=83.0}
Juegos{game='Blade & Soul', platform='PC', developer='NCSOFT', genre='Massively Multiplayer Online', numberPlayers='', rating='M', releaseDate='Jan 19, 2016', positiveCritics=9, neutralCritics=17, negativeCritics=0, positiveUsers=35, neutralUsers=18, negativeUsers=49, metascore=68.0, userScore=45.0}
Juegos{game='Infestation: Survivor Stories (The War Z)', platform='PC', developer='Hammerpoint Interactive', genre='Massively Multiplayer Online', numberPlayers='', rating='M', releaseDate='Oct 15, 2012', positiveCritics=0, neutralCritics=0, negativeCritics=13, positiveUsers=215, neutralUsers=82, negativeUsers=1304, metascore=20.0, userScore=17.0}
Juegos{game='Defiance', platform='PC', developer='Trion Worlds', genre='Massively Multiplayer Online', numberPlayers='', rating='M', releaseDate='Apr  2, 2013', positiveCritics=5, neutralCritics=33, negativeCritics=2, positiveUsers=144, neutralUsers=44, negativeUsers=75, metascore=64.0, userScore=66.0}
Juegos{game='Final Fantasy XIV: Heavensward', platform='PC', developer='Square Enix', genre='Massively Multiplayer Online', numberPlayers='', rating='T', releaseDate='Jun 23, 2015', positiveCritics=14, neutralCritics=0, negativeCritics=0, positiveUsers=27, neutralUsers=3, negativeUsers=5, metascore=86.0, userScore=84.0}
Juegos{game='Final Fantasy XIV: Heavensward', platform='PS4', developer='Square Enix', genre='Massively Multiplayer Online', numberPlayers='', rating='T', releaseDate='Jun 23, 2015', positiveCritics=18, neutralCritics=2, negativeCritics=0, positiveUsers=24, neutralUsers=4, negativeUsers=5, metascore=86.0, userScore=83.0}
Juegos{game='Blade & Soul', platform='PC', developer='NCSOFT', genre='Massively Multiplayer Online', numberPlayers='', rating='M', releaseDate='Jan 19, 2016', positiveCritics=9, neutralCritics=17, negativeCritics=0, positiveUsers=35, neutralUsers=18, negativeUsers=49, metascore=68.0, userScore=45.0}
