Juegos{game='The Legend of Zelda: Ocarina of Time 3D', platform='3DS', developer='GREZZO', genre='Miscellaneous', numberPlayers='No Online Multiplayer', rating='E10+', releaseDate='Jun 19, 2011', positiveCritics=84, neutralCritics=1, negativeCritics=0, positiveUsers=283, neutralUsers=20, negativeUsers=5, metascore=94.0, userScore=90.0}
Juegos{game='Pushmo', platform='3DS', developer='Intelligent Systems', genre='Miscellaneous', numberPlayers='1 Player', rating='E', releaseDate='Dec  8, 2011', positiveCritics=31, neutralCritics=0, negativeCritics=0, positiveUsers=34, neutralUsers=4, negativeUsers=2, metascore=90.0, userScore=83.0}
Juegos{game='SpaceChem', platform='PC', developer='Zachtronics Industries', genre='Miscellaneous', numberPlayers='No Online Multiplayer', rating='', releaseDate='Mar  2, 2011', positiveCritics=11, neutralCritics=2, negativeCritics=0, positiveUsers=45, neutralUsers=3, negativeUsers=2, metascore=84.0, userScore=85.0}
Juegos{game='Bit.Trip Saga', platform='3DS', developer='Gaijin Games', genre='Miscellaneous', numberPlayers='', rating='E', releaseDate='Sep 13, 2011', positiveCritics=13, neutralCritics=8, negativeCritics=0, positiveUsers=4, neutralUsers=0, negativeUsers=1, metascore=75.0, userScore=79.0}
Juegos{game='Tetris Axis', platform='3DS', developer='Hudson Soft', genre='Miscellaneous', numberPlayers='1-8 ', rating='E', releaseDate='Oct  2, 2011', positiveCritics=17, neutralCritics=15, negativeCritics=1, positiveUsers=7, neutralUsers=1, negativeUsers=2, metascore=74.0, userScore=69.0}
Juegos{game='Q.U.B.E.', platform='PC', developer='Toxic Games', genre='Miscellaneous', numberPlayers='', rating='', releaseDate='Dec 17, 2011', positiveCritics=10, neutralCritics=16, negativeCritics=0, positiveUsers=22, neutralUsers=19, negativeUsers=3, metascore=69.0, userScore=75.0}
Juegos{game='Lume', platform='PC', developer='State of Play Games', genre='Miscellaneous', numberPlayers='', rating='', releaseDate='May  9, 2011', positiveCritics=2, neutralCritics=5, negativeCritics=0, positiveUsers=2, neutralUsers=4, negativeUsers=8, metascore=69.0, userScore=50.0}
Juegos{game='Freakyforms: Your Creations, Alive!', platform='3DS', developer='Asobism, Co. ltd.', genre='Miscellaneous', numberPlayers='1 Player', rating='E', releaseDate='Nov 10, 2011', positiveCritics=2, neutralCritics=8, negativeCritics=0, positiveUsers=7, neutralUsers=0, negativeUsers=0, metascore=68.0, userScore=77.0}
Juegos{game='Mahjong Cub3d', platform='3DS', developer='SunSoft', genre='Miscellaneous', numberPlayers='', rating='E', releaseDate='Oct 11, 2011', positiveCritics=3, neutralCritics=7, negativeCritics=1, positiveUsers=0, neutralUsers=1, negativeUsers=0, metascore=67.0, userScore=53.0}
Juegos{game='Cargo! The Quest for Gravity', platform='PC', developer='Ice-Pick Lodge', genre='Miscellaneous', numberPlayers='', rating='T', releaseDate='Apr 21, 2011', positiveCritics=5, neutralCritics=12, negativeCritics=1, positiveUsers=1, neutralUsers=2, negativeUsers=0, metascore=64.0, userScore=70.0}
Juegos{game='SpongeBob Squigglepants 3D', platform='3DS', developer='WayForward', genre='Miscellaneous', numberPlayers='', rating='E', releaseDate='May 17, 2011', positiveCritics=1, neutralCritics=6, negativeCritics=1, positiveUsers=2, neutralUsers=2, negativeUsers=0, metascore=64.0, userScore=57.0}
Juegos{game='Puzzle Agent 2', platform='PC', developer='Telltale Games', genre='Miscellaneous', numberPlayers='', rating='', releaseDate='Jun 30, 2011', positiveCritics=5, neutralCritics=14, negativeCritics=3, positiveUsers=3, neutralUsers=9, negativeUsers=1, metascore=63.0, userScore=69.0}
Juegos{game=''James Noir''s Hollywood Crimes'', platform='3DS', developer='Ubisoft', genre='Miscellaneous', numberPlayers='', rating='T', releaseDate='Nov  1, 2011', positiveCritics=3, neutralCritics=16, negativeCritics=3, positiveUsers=0, neutralUsers=3, negativeUsers=0, metascore=60.0, userScore=67.0}
Juegos{game='Pyramids', platform='3DS', developer='Visual Impact', genre='Miscellaneous', numberPlayers='1 Player', rating='E', releaseDate='Oct 27, 2011', positiveCritics=4, neutralCritics=2, negativeCritics=2, positiveUsers=1, neutralUsers=1, negativeUsers=0, metascore=60.0, userScore=60.0}
Juegos{game='inMomentum', platform='PC', developer='Digital Arrow', genre='Miscellaneous', numberPlayers='', rating='', releaseDate='Oct 31, 2011', positiveCritics=1, neutralCritics=6, negativeCritics=1, positiveUsers=6, neutralUsers=2, negativeUsers=5, metascore=59.0, userScore=52.0}
Juegos{game='Doctor Lautrec and the Forgotten Knights', platform='3DS', developer='WinkySoft', genre='Miscellaneous', numberPlayers='No Online Multiplayer', rating='E10+', releaseDate='Dec 13, 2011', positiveCritics=2, neutralCritics=10, negativeCritics=7, positiveUsers=0, neutralUsers=1, negativeUsers=1, metascore=53.0, userScore=61.0}
