Juegos{game=''Baldur''s Gate II: Enhanced Edition'', platform='PC', developer='Overhaul Games', genre='PC-style RPG', numberPlayers='Online Multiplayer', rating='', releaseDate='Nov 15, 2013', positiveCritics=24, neutralCritics=10, negativeCritics=0, positiveUsers=71, neutralUsers=8, negativeUsers=16, metascore=78.0, userScore=74.0}
Juegos{game='Dragon Age: Inquisition', platform='PC', developer='BioWare', genre='PC-style RPG', numberPlayers='Up to 4 ', rating='M', releaseDate='Nov 18, 2014', positiveCritics=40, neutralCritics=5, negativeCritics=0, positiveUsers=512, neutralUsers=294, negativeUsers=644, metascore=85.0, userScore=59.0}
Juegos{game='Wasteland 2', platform='PC', developer='InXile Entertainment', genre='PC-style RPG', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Sep 18, 2014', positiveCritics=53, neutralCritics=12, negativeCritics=0, positiveUsers=169, neutralUsers=53, negativeUsers=51, metascore=81.0, userScore=73.0}
Juegos{game='Pillars of Eternity', platform='PC', developer='Obsidian Entertainment', genre='PC-style RPG', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Mar 26, 2015', positiveCritics=70, neutralCritics=1, negativeCritics=0, positiveUsers=328, neutralUsers=85, negativeUsers=49, metascore=89.0, userScore=83.0}
Juegos{game='The Age of Decadence', platform='PC', developer='Iron Tower Studio', genre='PC-style RPG', numberPlayers='No Online Multiplayer', rating='', releaseDate='Oct 15, 2015', positiveCritics=13, neutralCritics=4, negativeCritics=0, positiveUsers=36, neutralUsers=6, negativeUsers=10, metascore=81.0, userScore=80.0}
Juegos{game='Avernum 2: Crystal Souls', platform='PC', developer='Spiderweb Software', genre='PC-style RPG', numberPlayers='No Online Multiplayer', rating='', releaseDate='Jan 14, 2015', positiveCritics=6, neutralCritics=2, negativeCritics=0, positiveUsers=0, neutralUsers=0, negativeUsers=0, metascore=78.0, userScore=77.0}
Juegos{game=''Baldur''s Gate II: Enhanced Edition'', platform='PC', developer='Overhaul Games', genre='PC-style RPG', numberPlayers='Online Multiplayer', rating='', releaseDate='Nov 15, 2013', positiveCritics=24, neutralCritics=10, negativeCritics=0, positiveUsers=71, neutralUsers=8, negativeUsers=16, metascore=78.0, userScore=74.0}
Juegos{game='Dragon Age: Inquisition', platform='PC', developer='BioWare', genre='PC-style RPG', numberPlayers='Up to 4 ', rating='M', releaseDate='Nov 18, 2014', positiveCritics=40, neutralCritics=5, negativeCritics=0, positiveUsers=512, neutralUsers=294, negativeUsers=644, metascore=85.0, userScore=59.0}
Juegos{game='Wasteland 2', platform='PC', developer='InXile Entertainment', genre='PC-style RPG', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Sep 18, 2014', positiveCritics=53, neutralCritics=12, negativeCritics=0, positiveUsers=169, neutralUsers=53, negativeUsers=51, metascore=81.0, userScore=73.0}
Juegos{game='Pillars of Eternity', platform='PC', developer='Obsidian Entertainment', genre='PC-style RPG', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Mar 26, 2015', positiveCritics=70, neutralCritics=1, negativeCritics=0, positiveUsers=328, neutralUsers=85, negativeUsers=49, metascore=89.0, userScore=83.0}
Juegos{game='The Age of Decadence', platform='PC', developer='Iron Tower Studio', genre='PC-style RPG', numberPlayers='No Online Multiplayer', rating='', releaseDate='Oct 15, 2015', positiveCritics=13, neutralCritics=4, negativeCritics=0, positiveUsers=36, neutralUsers=6, negativeUsers=10, metascore=81.0, userScore=80.0}
Juegos{game='Avernum 2: Crystal Souls', platform='PC', developer='Spiderweb Software', genre='PC-style RPG', numberPlayers='No Online Multiplayer', rating='', releaseDate='Jan 14, 2015', positiveCritics=6, neutralCritics=2, negativeCritics=0, positiveUsers=0, neutralUsers=0, negativeUsers=0, metascore=78.0, userScore=77.0}
