Juegos{game='Super Mario 3D World', platform='WIIU', developer='Nintendo', genre='Platformer', numberPlayers='No Online Multiplayer', rating='E', releaseDate='Nov 22, 2013', positiveCritics=81, neutralCritics=2, negativeCritics=0, positiveUsers=354, neutralUsers=35, negativeUsers=16, metascore=93.0, userScore=89.0}
Juegos{game='Trine 2: Complete Story', platform='PS4', developer='Frozenbyte, Inc.', genre='Platformer', numberPlayers='Up to 3 ', rating='E10+', releaseDate='Nov 15, 2013', positiveCritics=9, neutralCritics=0, negativeCritics=0, positiveUsers=21, neutralUsers=13, negativeUsers=0, metascore=84.0, userScore=76.0}
Juegos{game='Super Mario 3D World', platform='WIIU', developer='Nintendo', genre='Platformer', numberPlayers='No Online Multiplayer', rating='E', releaseDate='Nov 22, 2013', positiveCritics=81, neutralCritics=2, negativeCritics=0, positiveUsers=354, neutralUsers=35, negativeUsers=16, metascore=93.0, userScore=89.0}
Juegos{game='Trine 2: Complete Story', platform='PS4', developer='Frozenbyte, Inc.', genre='Platformer', numberPlayers='Up to 3 ', rating='E10+', releaseDate='Nov 15, 2013', positiveCritics=9, neutralCritics=0, negativeCritics=0, positiveUsers=21, neutralUsers=13, negativeUsers=0, metascore=84.0, userScore=76.0}
Juegos{game='Contrast', platform='PS4', developer='Compulsion Games', genre='Platformer', numberPlayers='', rating='T', releaseDate='Nov 15, 2013', positiveCritics=5, neutralCritics=28, negativeCritics=6, positiveUsers=28, neutralUsers=39, negativeUsers=10, metascore=59.0, userScore=64.0}
Juegos{game='Rayman Legends', platform='PS4', developer='Ubisoft Montpellier', genre='Platformer', numberPlayers='No Online Multiplayer', rating='E10+', releaseDate='Feb 18, 2014', positiveCritics=16, neutralCritics=0, negativeCritics=0, positiveUsers=95, neutralUsers=5, negativeUsers=3, metascore=90.0, userScore=84.0}
Juegos{game='Shovel Knight', platform='3DS', developer='Yacht Club Games', genre='Platformer', numberPlayers='No Online Multiplayer', rating='E', releaseDate='Jun 26, 2014', positiveCritics=9, neutralCritics=0, negativeCritics=0, positiveUsers=50, neutralUsers=4, negativeUsers=1, metascore=90.0, userScore=83.0}
Juegos{game='Shovel Knight', platform='WIIU', developer='Yacht Club Games', genre='Platformer', numberPlayers='', rating='E', releaseDate='Jun 26, 2014', positiveCritics=22, neutralCritics=2, negativeCritics=0, positiveUsers=51, neutralUsers=4, negativeUsers=1, metascore=88.0, userScore=84.0}
Juegos{game='Shovel Knight', platform='PC', developer='Yacht Club Games', genre='Platformer', numberPlayers='', rating='E', releaseDate='Jun 26, 2014', positiveCritics=44, neutralCritics=2, negativeCritics=0, positiveUsers=65, neutralUsers=9, negativeUsers=4, metascore=85.0, userScore=80.0}
Juegos{game=''Oddworld: Abe''s Oddysee - New ''n'' Tasty'', platform='PS4', developer='Just Add Water', genre='Platformer', numberPlayers='', rating='T', releaseDate='Jul 22, 2014', positiveCritics=44, neutralCritics=6, negativeCritics=0, positiveUsers=26, neutralUsers=13, negativeUsers=2, metascore=84.0, userScore=78.0}
Juegos{game='Broforce', platform='PC', developer='Free Lives', genre='Platformer', numberPlayers='', rating='', releaseDate='Apr  7, 2014', positiveCritics=30, neutralCritics=2, negativeCritics=0, positiveUsers=30, neutralUsers=7, negativeUsers=3, metascore=83.0, userScore=80.0}
Juegos{game='Donkey Kong Country: Tropical Freeze', platform='WIIU', developer='Retro Studios', genre='Platformer', numberPlayers='No Online Multiplayer', rating='E', releaseDate='Feb 21, 2014', positiveCritics=65, neutralCritics=12, negativeCritics=0, positiveUsers=138, neutralUsers=10, negativeUsers=3, metascore=83.0, userScore=89.0}
Juegos{game=''Shantae and the Pirate''s Curse'', platform='3DS', developer='WayForward', genre='Platformer', numberPlayers='', rating='T', releaseDate='Oct 23, 2014', positiveCritics=16, neutralCritics=2, negativeCritics=0, positiveUsers=10, neutralUsers=0, negativeUsers=0, metascore=82.0, userScore=85.0}
Juegos{game='Valiant Hearts: The Great War', platform='XONE', developer='Ubisoft Montpellier', genre='Platformer', numberPlayers='', rating='T', releaseDate='Jun 25, 2014', positiveCritics=12, neutralCritics=4, negativeCritics=0, positiveUsers=30, neutralUsers=5, negativeUsers=1, metascore=81.0, userScore=81.0}
Juegos{game='Valiant Hearts: The Great War', platform='PC', developer='Ubisoft Montpellier', genre='Platformer', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Jun 25, 2014', positiveCritics=21, neutralCritics=7, negativeCritics=0, positiveUsers=67, neutralUsers=12, negativeUsers=4, metascore=79.0, userScore=86.0}
Juegos{game='Valiant Hearts: The Great War', platform='PS4', developer='Ubisoft Montpellier', genre='Platformer', numberPlayers='', rating='T', releaseDate='Jun 24, 2014', positiveCritics=33, neutralCritics=15, negativeCritics=0, positiveUsers=84, neutralUsers=11, negativeUsers=3, metascore=77.0, userScore=83.0}
Juegos{game=''Yumi''s Odd Odyssey'', platform='3DS', developer='Studio Saizensen', genre='Platformer', numberPlayers='', rating='E', releaseDate='Mar 20, 2014', positiveCritics=5, neutralCritics=8, negativeCritics=0, positiveUsers=3, neutralUsers=0, negativeUsers=2, metascore=74.0, userScore=77.0}
Juegos{game='Life Goes On', platform='PC', developer='Infinite Monkeys', genre='Platformer', numberPlayers='No Online Multiplayer', rating='', releaseDate='Apr 17, 2014', positiveCritics=10, neutralCritics=7, negativeCritics=0, positiveUsers=2, neutralUsers=2, negativeUsers=0, metascore=73.0, userScore=72.0}
Juegos{game='Lovers in a Dangerous Spacetime', platform='XONE', developer='Asteroid Base', genre='Platformer', numberPlayers='', rating='E10+', releaseDate='Sep  9, 2015', positiveCritics=23, neutralCritics=4, negativeCritics=0, positiveUsers=3, neutralUsers=0, negativeUsers=0, metascore=82.0, userScore=74.0}
Juegos{game='N++', platform='PS4', developer='Metanet Software Inc.', genre='Platformer', numberPlayers='', rating='E10+', releaseDate='Jul 28, 2015', positiveCritics=43, neutralCritics=4, negativeCritics=0, positiveUsers=14, neutralUsers=1, negativeUsers=6, metascore=82.0, userScore=65.0}
Juegos{game='Apotheon', platform='PC', developer='Alientrap', genre='Platformer', numberPlayers='', rating='T', releaseDate='Feb  3, 2015', positiveCritics=22, neutralCritics=8, negativeCritics=0, positiveUsers=18, neutralUsers=5, negativeUsers=1, metascore=78.0, userScore=77.0}
