Juegos{game='The Elder Scrolls V: Skyrim', platform='PC', developer='Bethesda Game Studios', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Nov 10, 2011', positiveCritics=32, neutralCritics=0, negativeCritics=0, positiveUsers=1616, neutralUsers=322, negativeUsers=451, metascore=94.0, userScore=82.0}
Juegos{game='The Witcher 2: Assassins of Kings', platform='PC', developer='CD Projekt Red Studio', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='M', releaseDate='May 17, 2011', positiveCritics=70, neutralCritics=6, negativeCritics=0, positiveUsers=1155, neutralUsers=127, negativeUsers=77, metascore=88.0, userScore=85.0}
Juegos{game='Rift', platform='PC', developer='Trion Worlds', genre='Role-Playing', numberPlayers='Online Multiplayer', rating='T', releaseDate='Mar  1, 2011', positiveCritics=56, neutralCritics=3, negativeCritics=0, positiveUsers=121, neutralUsers=51, negativeUsers=47, metascore=84.0, userScore=73.0}
Juegos{game='Dragon Age II', platform='PC', developer='BioWare', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Mar  8, 2011', positiveCritics=38, neutralCritics=7, negativeCritics=0, positiveUsers=364, neutralUsers=291, negativeUsers=1017, metascore=82.0, userScore=45.0}
Juegos{game='Fallout: New Vegas - Old World Blues', platform='PC', developer='Obsidian Entertainment', genre='Role-Playing', numberPlayers='', rating='M', releaseDate='Jul 19, 2011', positiveCritics=14, neutralCritics=3, negativeCritics=0, positiveUsers=29, neutralUsers=10, negativeUsers=5, metascore=82.0, userScore=77.0}
Juegos{game='To the Moon', platform='PC', developer='Freebird Games', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='', releaseDate='Nov  1, 2011', positiveCritics=22, neutralCritics=4, negativeCritics=0, positiveUsers=209, neutralUsers=17, negativeUsers=15, metascore=81.0, userScore=89.0}
Juegos{game='Dungeon Defenders', platform='PC', developer='Trendy Entertainment', genre='Role-Playing', numberPlayers='', rating='E10+', releaseDate='Oct 18, 2011', positiveCritics=21, neutralCritics=5, negativeCritics=0, positiveUsers=82, neutralUsers=28, negativeUsers=29, metascore=81.0, userScore=73.0}
Juegos{game='Dungeons of Dredmor', platform='PC', developer='Gaslamp Games', genre='Role-Playing', numberPlayers='', rating='', releaseDate='Jul 13, 2011', positiveCritics=13, neutralCritics=5, negativeCritics=0, positiveUsers=47, neutralUsers=19, negativeUsers=4, metascore=79.0, userScore=77.0}
Juegos{game='Two Worlds II: Pirates of the Flying Fortress', platform='PC', developer='Reality Pump', genre='Role-Playing', numberPlayers='', rating='M', releaseDate='Sep 30, 2011', positiveCritics=8, neutralCritics=0, negativeCritics=1, positiveUsers=8, neutralUsers=2, negativeUsers=1, metascore=78.0, userScore=75.0}
Juegos{game='Shin Megami Tensei: Devil Survivor Overclocked', platform='3DS', developer='Atlus', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Aug 23, 2011', positiveCritics=19, neutralCritics=7, negativeCritics=1, positiveUsers=18, neutralUsers=4, negativeUsers=3, metascore=78.0, userScore=43.0}
Juegos{game='Might & Magic: Heroes VI', platform='PC', developer='Black Hole Games', genre='Role-Playing', numberPlayers='', rating='T', releaseDate='Oct 13, 2011', positiveCritics=37, neutralCritics=11, negativeCritics=0, positiveUsers=78, neutralUsers=37, negativeUsers=65, metascore=77.0, userScore=60.0}
Juegos{game='Two Worlds II', platform='PC', developer='Reality Pump', genre='Role-Playing', numberPlayers='Online Multiplayer', rating='M', releaseDate='Feb  3, 2011', positiveCritics=19, neutralCritics=12, negativeCritics=0, positiveUsers=31, neutralUsers=37, negativeUsers=22, metascore=76.0, userScore=64.0}
Juegos{game='Avadon: The Black Fortress', platform='PC', developer='Spiderweb Software', genre='Role-Playing', numberPlayers='1 Player', rating='', releaseDate='May  2, 2011', positiveCritics=4, neutralCritics=4, negativeCritics=0, positiveUsers=14, neutralUsers=6, negativeUsers=2, metascore=75.0, userScore=77.0}
Juegos{game='Fable III', platform='PC', developer='Lionhead Studios', genre='Role-Playing', numberPlayers='1 Player', rating='M', releaseDate='May 17, 2011', positiveCritics=23, neutralCritics=16, negativeCritics=0, positiveUsers=35, neutralUsers=38, negativeUsers=67, metascore=75.0, userScore=55.0}
Juegos{game='DC Universe Online', platform='PC', developer='WBIE', genre='Role-Playing', numberPlayers='Massively Multiplayer', rating='T', releaseDate='Jan 11, 2011', positiveCritics=13, neutralCritics=13, negativeCritics=1, positiveUsers=53, neutralUsers=23, negativeUsers=31, metascore=72.0, userScore=68.0}
Juegos{game='Dungeon Siege III', platform='PC', developer='Obsidian Entertainment', genre='Role-Playing', numberPlayers='4  Online', rating='T', releaseDate='Jun 20, 2011', positiveCritics=16, neutralCritics=20, negativeCritics=1, positiveUsers=36, neutralUsers=38, negativeUsers=106, metascore=72.0, userScore=47.0}
Juegos{game='Fallout: New Vegas - Dead Money', platform='PC', developer='Obsidian Entertainment', genre='Role-Playing', numberPlayers='', rating='M', releaseDate='Feb 22, 2011', positiveCritics=4, neutralCritics=7, negativeCritics=0, positiveUsers=19, neutralUsers=19, negativeUsers=21, metascore=70.0, userScore=63.0}
Juegos{game='Forsaken World', platform='PC', developer='Perfect World Entertainment', genre='Role-Playing', numberPlayers='', rating='', releaseDate='Mar 22, 2011', positiveCritics=4, neutralCritics=3, negativeCritics=0, positiveUsers=17, neutralUsers=14, negativeUsers=21, metascore=69.0, userScore=50.0}
Juegos{game='Runespell: Overture', platform='PC', developer='Mystic Box', genre='Role-Playing', numberPlayers='', rating='', releaseDate='Jul 20, 2011', positiveCritics=5, neutralCritics=9, negativeCritics=0, positiveUsers=9, neutralUsers=3, negativeUsers=3, metascore=69.0, userScore=69.0}
Juegos{game='Mount & Blade: With Fire & Sword', platform='PC', developer='Taleworlds', genre='Role-Playing', numberPlayers='', rating='T', releaseDate='May  3, 2011', positiveCritics=7, neutralCritics=16, negativeCritics=1, positiveUsers=20, neutralUsers=26, negativeUsers=10, metascore=68.0, userScore=69.0}
Juegos{game='The Lord of the Rings: War in the North', platform='PC', developer='Snowblind Studios', genre='Role-Playing', numberPlayers='3  Online', rating='M', releaseDate='Nov  1, 2011', positiveCritics=4, neutralCritics=16, negativeCritics=1, positiveUsers=45, neutralUsers=24, negativeUsers=23, metascore=66.0, userScore=71.0}
Juegos{game='Dragon Age II: Legacy', platform='PC', developer='BioWare', genre='Role-Playing', numberPlayers='', rating='M', releaseDate='Jul 26, 2011', positiveCritics=4, neutralCritics=6, negativeCritics=1, positiveUsers=6, neutralUsers=6, negativeUsers=19, metascore=66.0, userScore=43.0}
Juegos{game='Fallout: New Vegas - Honest Hearts', platform='PC', developer='Obsidian Entertainment', genre='Role-Playing', numberPlayers='', rating='M', releaseDate='May 17, 2011', positiveCritics=3, neutralCritics=7, negativeCritics=2, positiveUsers=11, neutralUsers=18, negativeUsers=5, metascore=66.0, userScore=67.0}
Juegos{game='Darkspore', platform='PC', developer='Maxis', genre='Role-Playing', numberPlayers='4  Online', rating='T', releaseDate='Apr 25, 2011', positiveCritics=13, neutralCritics=38, negativeCritics=1, positiveUsers=38, neutralUsers=12, negativeUsers=13, metascore=65.0, userScore=60.0}
Juegos{game='Mass Effect 2: Arrival', platform='PC', developer='BioWare', genre='Role-Playing', numberPlayers='', rating='M', releaseDate='Mar 29, 2011', positiveCritics=1, neutralCritics=9, negativeCritics=1, positiveUsers=7, neutralUsers=7, negativeUsers=5, metascore=63.0, userScore=61.0}
Juegos{game='Chantelise: A Tale of Two Sisters', platform='PC', developer='EasyGameStation', genre='Role-Playing', numberPlayers='', rating='', releaseDate='Jul 29, 2011', positiveCritics=2, neutralCritics=10, negativeCritics=1, positiveUsers=10, neutralUsers=1, negativeUsers=6, metascore=62.0, userScore=70.0}
Juegos{game='E.Y.E: Divine Cybermancy', platform='PC', developer='Streum On Studio', genre='Role-Playing', numberPlayers='', rating='RP', releaseDate='Jul 29, 2011', positiveCritics=5, neutralCritics=12, negativeCritics=5, positiveUsers=33, neutralUsers=23, negativeUsers=16, metascore=61.0, userScore=69.0}
Juegos{game='Venetica', platform='PC', developer='Deck 13', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Jan 25, 2011', positiveCritics=2, neutralCritics=13, negativeCritics=2, positiveUsers=6, neutralUsers=6, negativeUsers=2, metascore=61.0, userScore=68.0}
Juegos{game='Faery: Legends of Avalon', platform='PC', developer='Spiders', genre='Role-Playing', numberPlayers='', rating='E10+', releaseDate='May  6, 2011', positiveCritics=0, neutralCritics=7, negativeCritics=3, positiveUsers=1, neutralUsers=4, negativeUsers=0, metascore=59.0, userScore=66.0}
Juegos{game='APB: Reloaded', platform='PC', developer='Reloaded Productions, Reloaded Games Inc., Reloaded Games', genre='Role-Playing', numberPlayers='', rating='M', releaseDate='Dec  1, 2011', positiveCritics=1, neutralCritics=9, negativeCritics=2, positiveUsers=47, neutralUsers=23, negativeUsers=64, metascore=56.0, userScore=57.0}
Juegos{game='Afterfall: InSanity', platform='PC', developer='Nicolas Intoxicate', genre='Role-Playing', numberPlayers='', rating='', releaseDate='Nov 25, 2011', positiveCritics=1, neutralCritics=12, negativeCritics=7, positiveUsers=16, neutralUsers=11, negativeUsers=15, metascore=50.0, userScore=59.0}
Juegos{game='Gods & Heroes: Rome Rising', platform='PC', developer='Heatwave Interactive', genre='Role-Playing', numberPlayers='Massively Multiplayer', rating='T', releaseDate='Jun 21, 2011', positiveCritics=0, neutralCritics=5, negativeCritics=3, positiveUsers=9, neutralUsers=4, negativeUsers=6, metascore=50.0, userScore=62.0}
Juegos{game='Dungeons & Dragons: Daggerdale', platform='PC', developer='Bedlam Games', genre='Role-Playing', numberPlayers='', rating='T', releaseDate='May 25, 2011', positiveCritics=1, neutralCritics=6, negativeCritics=6, positiveUsers=1, neutralUsers=8, negativeUsers=8, metascore=49.0, userScore=36.0}
Juegos{game='Arcania: Fall of Setarrif', platform='PC', developer='Spellbound', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Oct 24, 2011', positiveCritics=0, neutralCritics=3, negativeCritics=7, positiveUsers=0, neutralUsers=0, negativeUsers=33, metascore=41.0, userScore=19.0}
Juegos{game='Persona 4 Golden', platform='VITA', developer='Atlus', genre='Role-Playing', numberPlayers='Up to 40 ', rating='M', releaseDate='Nov 20, 2012', positiveCritics=61, neutralCritics=0, negativeCritics=0, positiveUsers=237, neutralUsers=7, negativeUsers=4, metascore=93.0, userScore=85.0}
Juegos{game='Mass Effect 3', platform='PC', developer='BioWare', genre='Role-Playing', numberPlayers='Up to 4 ', rating='M', releaseDate='Mar  6, 2012', positiveCritics=23, neutralCritics=0, negativeCritics=0, positiveUsers=641, neutralUsers=334, negativeUsers=1038, metascore=89.0, userScore=58.0}
Juegos{game='Torchlight II', platform='PC', developer='Runic Games', genre='Role-Playing', numberPlayers='Online Multiplayer', rating='', releaseDate='Sep 20, 2012', positiveCritics=66, neutralCritics=1, negativeCritics=0, positiveUsers=423, neutralUsers=49, negativeUsers=23, metascore=88.0, userScore=85.0}
Juegos{game='Diablo III', platform='PC', developer='Blizzard Entertainment', genre='Role-Playing', numberPlayers='Up to 4 ', rating='M', releaseDate='May 15, 2012', positiveCritics=81, neutralCritics=4, negativeCritics=1, positiveUsers=1178, neutralUsers=506, negativeUsers=2998, metascore=88.0, userScore=41.0}
Juegos{game='Dark Souls: Prepare to Die Edition', platform='PC', developer='From Software', genre='Role-Playing', numberPlayers='Online Multiplayer', rating='M', releaseDate='Aug 24, 2012', positiveCritics=36, neutralCritics=5, negativeCritics=1, positiveUsers=371, neutralUsers=61, negativeUsers=153, metascore=85.0, userScore=76.0}
Juegos{game='PlanetSide 2', platform='PC', developer='Sony Online Entertainment', genre='Role-Playing', numberPlayers='', rating='T', releaseDate='Nov 20, 2012', positiveCritics=38, neutralCritics=4, negativeCritics=0, positiveUsers=268, neutralUsers=106, negativeUsers=154, metascore=84.0, userScore=70.0}
Juegos{game='Legend of Grimrock', platform='PC', developer='Almost Human', genre='Role-Playing', numberPlayers='', rating='', releaseDate='Apr 11, 2012', positiveCritics=46, neutralCritics=5, negativeCritics=0, positiveUsers=137, neutralUsers=24, negativeUsers=17, metascore=82.0, userScore=81.0}
Juegos{game='Kingdoms of Amalur: Reckoning', platform='PC', developer='Big Huge Games', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Feb  7, 2012', positiveCritics=22, neutralCritics=3, negativeCritics=0, positiveUsers=201, neutralUsers=101, negativeUsers=54, metascore=81.0, userScore=67.0}
Juegos{game='Rift: Storm Legion', platform='PC', developer='Trion Worlds', genre='Role-Playing', numberPlayers='', rating='T', releaseDate='Nov 13, 2012', positiveCritics=11, neutralCritics=4, negativeCritics=0, positiveUsers=13, neutralUsers=2, negativeUsers=2, metascore=79.0, userScore=77.0}
Juegos{game='The Denpa Men: They Came By Wave', platform='3DS', developer='Genius Sonority Inc.', genre='Role-Playing', numberPlayers='1 Player', rating='E', releaseDate='Sep 27, 2012', positiveCritics=13, neutralCritics=5, negativeCritics=0, positiveUsers=5, neutralUsers=2, negativeUsers=1, metascore=78.0, userScore=72.0}
Juegos{game=''Baldur''s Gate: Enhanced Edition'', platform='PC', developer='Overhaul Games', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Nov 28, 2012', positiveCritics=29, neutralCritics=9, negativeCritics=1, positiveUsers=38, neutralUsers=23, negativeUsers=27, metascore=78.0, userScore=66.0}
Juegos{game='Penny Arcade Adventures: Episode Three', platform='PC', developer='Zeboyd Games', genre='Role-Playing', numberPlayers='', rating='', releaseDate='Jun 25, 2012', positiveCritics=11, neutralCritics=7, negativeCritics=0, positiveUsers=10, neutralUsers=3, negativeUsers=0, metascore=77.0, userScore=73.0}
Juegos{game='TERA', platform='PC', developer='Bluehole Studio', genre='Role-Playing', numberPlayers='Massively Multiplayer', rating='M', releaseDate='May  1, 2012', positiveCritics=28, neutralCritics=13, negativeCritics=0, positiveUsers=201, neutralUsers=55, negativeUsers=78, metascore=77.0, userScore=69.0}
Juegos{game='Ys Origin', platform='PC', developer='Falcom', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='', releaseDate='May 31, 2012', positiveCritics=4, neutralCritics=3, negativeCritics=0, positiveUsers=25, neutralUsers=1, negativeUsers=0, metascore=76.0, userScore=84.0}
Juegos{game='Crimson Shroud', platform='3DS', developer='Nex Entertainment', genre='Role-Playing', numberPlayers='', rating='T', releaseDate='Dec 13, 2012', positiveCritics=22, neutralCritics=8, negativeCritics=2, positiveUsers=6, neutralUsers=1, negativeUsers=1, metascore=76.0, userScore=79.0}
Juegos{game='Tales of the Abyss', platform='3DS', developer='Bandai Namco Games', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Feb 14, 2012', positiveCritics=19, neutralCritics=13, negativeCritics=1, positiveUsers=18, neutralUsers=8, negativeUsers=2, metascore=75.0, userScore=78.0}
Juegos{game='Kingdom Hearts 3D: Dream Drop Distance', platform='3DS', developer='Square Enix', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='E10+', releaseDate='Jun  5, 2012', positiveCritics=35, neutralCritics=18, negativeCritics=1, positiveUsers=43, neutralUsers=17, negativeUsers=7, metascore=75.0, userScore=85.0}
Juegos{game='Mass Effect 3: Leviathan', platform='PC', developer='BioWare', genre='Role-Playing', numberPlayers='', rating='M', releaseDate='Aug 28, 2012', positiveCritics=5, neutralCritics=2, negativeCritics=0, positiveUsers=7, neutralUsers=8, negativeUsers=5, metascore=75.0, userScore=68.0}
Juegos{game='The Secret World', platform='PC', developer='Funcom', genre='Role-Playing', numberPlayers='Online Multiplayer', rating='M', releaseDate='Jul  3, 2012', positiveCritics=32, neutralCritics=22, negativeCritics=1, positiveUsers=420, neutralUsers=40, negativeUsers=58, metascore=74.0, userScore=83.0}
Juegos{game='Ys: The Oath in Felghana', platform='PC', developer='Falcom', genre='Role-Playing', numberPlayers='', rating='', releaseDate='Mar 19, 2012', positiveCritics=6, neutralCritics=1, negativeCritics=0, positiveUsers=5, neutralUsers=4, negativeUsers=2, metascore=73.0, userScore=78.0}
Juegos{game='Driftmoon', platform='PC', developer='Instant Kingdom', genre='Role-Playing', numberPlayers='', rating='', releaseDate='Oct  2, 2012', positiveCritics=4, neutralCritics=4, negativeCritics=0, positiveUsers=1, neutralUsers=4, negativeUsers=0, metascore=73.0, userScore=75.0}
Juegos{game='Of Orcs and Men', platform='PC', developer='Cyanide, Spiders', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='RP', releaseDate='Oct 11, 2012', positiveCritics=4, neutralCritics=10, negativeCritics=0, positiveUsers=24, neutralUsers=16, negativeUsers=7, metascore=69.0, userScore=67.0}
Juegos{game='Code of Princess', platform='3DS', developer='Studio Saizensen', genre='Role-Playing', numberPlayers='Up to 4 ', rating='T', releaseDate='Oct  9, 2012', positiveCritics=14, neutralCritics=22, negativeCritics=2, positiveUsers=13, neutralUsers=8, negativeUsers=3, metascore=67.0, userScore=74.0}
Juegos{game='Ragnarok Odyssey', platform='VITA', developer='Game Arts', genre='Role-Playing', numberPlayers='', rating='T', releaseDate='Oct 30, 2012', positiveCritics=7, neutralCritics=10, negativeCritics=4, positiveUsers=20, neutralUsers=3, negativeUsers=5, metascore=66.0, userScore=78.0}
Juegos{game='The Elder Scrolls V: Skyrim - Dawnguard', platform='PC', developer='Bethesda Game Studios', genre='Role-Playing', numberPlayers='1 Player', rating='M', releaseDate='Aug  2, 2012', positiveCritics=3, neutralCritics=7, negativeCritics=0, positiveUsers=23, neutralUsers=27, negativeUsers=10, metascore=66.0, userScore=69.0}
Juegos{game='King Arthur II: The Role-Playing Wargame', platform='PC', developer='NeocoreGames', genre='Role-Playing', numberPlayers='', rating='T', releaseDate='Jan 27, 2012', positiveCritics=9, neutralCritics=28, negativeCritics=2, positiveUsers=11, neutralUsers=8, negativeUsers=9, metascore=66.0, userScore=66.0}
Juegos{game='Game of Thrones', platform='PC', developer='Cyanide, Cyanide Studios', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='M', releaseDate='May 15, 2012', positiveCritics=2, neutralCritics=16, negativeCritics=5, positiveUsers=45, neutralUsers=25, negativeUsers=13, metascore=58.0, userScore=65.0}
Juegos{game='Sumioni: Demon Arts', platform='VITA', developer='Acquire', genre='Role-Playing', numberPlayers='', rating='E10+', releaseDate='Mar 20, 2012', positiveCritics=3, neutralCritics=12, negativeCritics=6, positiveUsers=0, neutralUsers=1, negativeUsers=0, metascore=57.0, userScore=58.0}
Juegos{game='SpellForce 2: Faith in Destiny', platform='PC', developer='JoWooD Entertainment AG', genre='Role-Playing', numberPlayers='1-4 ', rating='T', releaseDate='Jun 19, 2012', positiveCritics=2, neutralCritics=7, negativeCritics=3, positiveUsers=2, neutralUsers=2, negativeUsers=3, metascore=55.0, userScore=60.0}
Juegos{game='Krater', platform='PC', developer='Fatshark AB', genre='Role-Playing', numberPlayers='', rating='', releaseDate='Jun 12, 2012', positiveCritics=2, neutralCritics=25, negativeCritics=9, positiveUsers=53, neutralUsers=15, negativeUsers=10, metascore=52.0, userScore=71.0}
Juegos{game='Planet Crashers (3DSWare)', platform='3DS', developer='Renegade Kid', genre='Role-Playing', numberPlayers='', rating='E10+', releaseDate='Jul 26, 2012', positiveCritics=2, neutralCritics=6, negativeCritics=5, positiveUsers=0, neutralUsers=2, negativeUsers=3, metascore=50.0, userScore=45.0}
Juegos{game='Dungeon Hunter: Alliance', platform='VITA', developer='Ubisoft', genre='Role-Playing', numberPlayers='', rating='T', releaseDate='Feb 15, 2012', positiveCritics=0, neutralCritics=24, negativeCritics=10, positiveUsers=11, neutralUsers=6, negativeUsers=4, metascore=49.0, userScore=65.0}
Juegos{game='Ben 10: Omniverse', platform='WIIU', developer='Vicious Cycle', genre='Role-Playing', numberPlayers='Massively Multiplayer', rating='E10+', releaseDate='Nov 18, 2012', positiveCritics=0, neutralCritics=3, negativeCritics=5, positiveUsers=1, neutralUsers=1, negativeUsers=0, metascore=43.0, userScore=60.0}
Juegos{game='Pokemon Y', platform='3DS', developer='Game Freak', genre='Role-Playing', numberPlayers='Up to 4 ', rating='E', releaseDate='Oct 12, 2013', positiveCritics=65, neutralCritics=4, negativeCritics=0, positiveUsers=120, neutralUsers=34, negativeUsers=6, metascore=88.0, userScore=87.0}
Juegos{game='Pokemon X', platform='3DS', developer='Game Freak', genre='Role-Playing', numberPlayers='Up to 4 ', rating='E', releaseDate='Oct 12, 2013', positiveCritics=67, neutralCritics=4, negativeCritics=0, positiveUsers=157, neutralUsers=33, negativeUsers=10, metascore=87.0, userScore=86.0}
Juegos{game='Dust: An Elysian Tail', platform='PC', developer='Humble Hearts', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='E10+', releaseDate='May 24, 2013', positiveCritics=7, neutralCritics=0, negativeCritics=0, positiveUsers=96, neutralUsers=9, negativeUsers=3, metascore=85.0, userScore=85.0}
Juegos{game='Rogue Legacy', platform='PC', developer='Cellar Door Games', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='', releaseDate='Jun 27, 2013', positiveCritics=42, neutralCritics=1, negativeCritics=0, positiveUsers=82, neutralUsers=32, negativeUsers=20, metascore=85.0, userScore=79.0}
Juegos{game='Mass Effect 3: Citadel', platform='PC', developer='BioWare', genre='Role-Playing', numberPlayers='', rating='M', releaseDate='Mar  5, 2013', positiveCritics=7, neutralCritics=1, negativeCritics=0, positiveUsers=34, neutralUsers=8, negativeUsers=14, metascore=84.0, userScore=79.0}
Juegos{game='Etrian Odyssey IV: Legends of the Titan', platform='3DS', developer='Atlus', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Feb 26, 2013', positiveCritics=38, neutralCritics=3, negativeCritics=0, positiveUsers=26, neutralUsers=0, negativeUsers=4, metascore=84.0, userScore=83.0}
Juegos{game='Shin Megami Tensei IV', platform='3DS', developer='Atlus', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Jul 16, 2013', positiveCritics=45, neutralCritics=3, negativeCritics=0, positiveUsers=38, neutralUsers=6, negativeUsers=3, metascore=83.0, userScore=62.0}
Juegos{game='Final Fantasy XIV Online: A Realm Reborn', platform='PC', developer='Square Enix', genre='Role-Playing', numberPlayers='Massively Multiplayer', rating='T', releaseDate='Aug 27, 2013', positiveCritics=29, neutralCritics=3, negativeCritics=0, positiveUsers=277, neutralUsers=48, negativeUsers=98, metascore=83.0, userScore=71.0}
Juegos{game='Ys: Memories of Celceta', platform='VITA', developer='Falcom', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Nov 26, 2013', positiveCritics=53, neutralCritics=3, negativeCritics=0, positiveUsers=45, neutralUsers=5, negativeUsers=1, metascore=82.0, userScore=87.0}
Juegos{game='Monster Hunter 3 Ultimate', platform='WIIU', developer='Capcom', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Mar 19, 2013', positiveCritics=46, neutralCritics=9, negativeCritics=0, positiveUsers=48, neutralUsers=4, negativeUsers=4, metascore=82.0, userScore=82.0}
Juegos{game='Mario & Luigi: Dream Team', platform='3DS', developer='Alphadream Corporation', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='E10+', releaseDate='Aug 11, 2013', positiveCritics=60, neutralCritics=15, negativeCritics=0, positiveUsers=57, neutralUsers=16, negativeUsers=4, metascore=81.0, userScore=81.0}
Juegos{game='Etrian Odyssey Untold: The Millennium Girl', platform='3DS', developer='Atlus', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Oct  1, 2013', positiveCritics=36, neutralCritics=5, negativeCritics=0, positiveUsers=10, neutralUsers=1, negativeUsers=1, metascore=80.0, userScore=81.0}
