Juegos{game='The Sims 3: Pets', platform='PC', developer='The Sims Studio', genre='Simulation', numberPlayers='', rating='T', releaseDate='Oct 18, 2011', positiveCritics=13, neutralCritics=5, negativeCritics=0, positiveUsers=5, neutralUsers=2, negativeUsers=3, metascore=79.0, userScore=61.0}
Juegos{game='The Sims Medieval', platform='PC', developer='The Sims Studio', genre='Simulation', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Mar 22, 2011', positiveCritics=35, neutralCritics=21, negativeCritics=0, positiveUsers=24, neutralUsers=14, negativeUsers=16, metascore=77.0, userScore=60.0}
Juegos{game='Nintendogs + Cats: French Bulldog & New Friends', platform='3DS', developer='Nintendo', genre='Simulation', numberPlayers='', rating='E', releaseDate='Mar 27, 2011', positiveCritics=13, neutralCritics=27, negativeCritics=0, positiveUsers=4, neutralUsers=1, negativeUsers=1, metascore=71.0, userScore=71.0}
Juegos{game='Nintendogs + Cats: Toy Poodle & New Friends', platform='3DS', developer='Nintendo', genre='Simulation', numberPlayers='', rating='E', releaseDate='Mar 27, 2011', positiveCritics=14, neutralCritics=29, negativeCritics=0, positiveUsers=4, neutralUsers=1, negativeUsers=0, metascore=71.0, userScore=71.0}
Juegos{game='Nintendogs + Cats: Golden Retriever & New Friends', platform='3DS', developer='Nintendo', genre='Simulation', numberPlayers='', rating='E', releaseDate='Mar 27, 2011', positiveCritics=13, neutralCritics=29, negativeCritics=0, positiveUsers=8, neutralUsers=6, negativeUsers=0, metascore=71.0, userScore=73.0}
Juegos{game='Pilotwings Resort', platform='3DS', developer='Monster Games Inc.', genre='Simulation', numberPlayers='', rating='E', releaseDate='Mar 27, 2011', positiveCritics=24, neutralCritics=40, negativeCritics=0, positiveUsers=23, neutralUsers=15, negativeUsers=2, metascore=71.0, userScore=72.0}
Juegos{game='Take On Helicopters', platform='PC', developer='Bohemia Interactive', genre='Simulation', numberPlayers='', rating='T', releaseDate='Oct 16, 2011', positiveCritics=6, neutralCritics=4, negativeCritics=0, positiveUsers=7, neutralUsers=2, negativeUsers=2, metascore=70.0, userScore=67.0}
Juegos{game='Cities in Motion', platform='PC', developer='Colossal Order', genre='Simulation', numberPlayers='No Online Multiplayer', rating='E', releaseDate='Feb 22, 2011', positiveCritics=10, neutralCritics=9, negativeCritics=1, positiveUsers=17, neutralUsers=4, negativeUsers=8, metascore=70.0, userScore=77.0}
Juegos{game='The Sims 3: Generations', platform='PC', developer='The Sims Studio', genre='Simulation', numberPlayers='1 Player', rating='T', releaseDate='May 31, 2011', positiveCritics=9, neutralCritics=12, negativeCritics=1, positiveUsers=4, neutralUsers=2, negativeUsers=3, metascore=70.0, userScore=37.0}
Juegos{game='Railworks 3: Train Simulator 2012', platform='PC', developer='RailSimulator.com', genre='Simulation', numberPlayers='', rating='E', releaseDate='Sep 23, 2011', positiveCritics=3, neutralCritics=5, negativeCritics=1, positiveUsers=14, neutralUsers=2, negativeUsers=8, metascore=67.0, userScore=64.0}
Juegos{game='The Sims Medieval: Pirates & Nobles', platform='PC', developer='The Sims Studio', genre='Simulation', numberPlayers='', rating='T', releaseDate='Aug 30, 2011', positiveCritics=7, neutralCritics=5, negativeCritics=1, positiveUsers=3, neutralUsers=0, negativeUsers=1, metascore=67.0, userScore=47.0}
Juegos{game='IL-2 Sturmovik: Cliffs of Dover', platform='PC', developer='1C: Maddox Games', genre='Simulation', numberPlayers='64+  Online', rating='T', releaseDate='Apr 26, 2011', positiveCritics=3, neutralCritics=7, negativeCritics=3, positiveUsers=42, neutralUsers=6, negativeUsers=19, metascore=60.0, userScore=71.0}
Juegos{game='Crasher', platform='PC', developer='Punchers Impact', genre='Simulation', numberPlayers='', rating='', releaseDate='Jan 28, 2011', positiveCritics=1, neutralCritics=5, negativeCritics=2, positiveUsers=0, neutralUsers=1, negativeUsers=0, metascore=55.0, userScore=70.0}
Juegos{game='The Sims 3', platform='3DS', developer='EA Games', genre='Simulation', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Mar 22, 2011', positiveCritics=2, neutralCritics=15, negativeCritics=12, positiveUsers=0, neutralUsers=0, negativeUsers=7, metascore=52.0, userScore=31.0}
