Juegos{game='FIFA Soccer 12', platform='PC', developer='Electronic Arts', genre='Sports', numberPlayers='', rating='E', releaseDate='Sep 27, 2011', positiveCritics=14, neutralCritics=0, negativeCritics=0, positiveUsers=33, neutralUsers=8, negativeUsers=10, metascore=89.0, userScore=71.0}
Juegos{game='Football Manager 2012', platform='PC', developer='Sports Interactive', genre='Sports', numberPlayers='', rating='E', releaseDate='Oct 20, 2011', positiveCritics=43, neutralCritics=2, negativeCritics=0, positiveUsers=22, neutralUsers=5, negativeUsers=4, metascore=84.0, userScore=79.0}
Juegos{game='Pro Evolution Soccer 2012', platform='PC', developer='Konami', genre='Sports', numberPlayers='', rating='', releaseDate='Sep 27, 2011', positiveCritics=8, neutralCritics=5, negativeCritics=0, positiveUsers=8, neutralUsers=2, negativeUsers=4, metascore=77.0, userScore=65.0}
Juegos{game='Pro Evolution Soccer 2011 3D', platform='3DS', developer='Konami', genre='Sports', numberPlayers='', rating='E', releaseDate='Mar 25, 2011', positiveCritics=19, neutralCritics=24, negativeCritics=0, positiveUsers=3, neutralUsers=4, negativeUsers=0, metascore=73.0, userScore=69.0}
Juegos{game='FIFA Manager 12', platform='PC', developer='Bright Future GmbH', genre='Sports', numberPlayers='', rating='E', releaseDate='Oct 18, 2011', positiveCritics=6, neutralCritics=4, negativeCritics=1, positiveUsers=1, neutralUsers=2, negativeUsers=3, metascore=72.0, userScore=40.0}
Juegos{game='FIFA Soccer 12', platform='3DS', developer='EA Sports', genre='Sports', numberPlayers='2  Online', rating='E', releaseDate='Sep 27, 2011', positiveCritics=2, neutralCritics=9, negativeCritics=2, positiveUsers=0, neutralUsers=1, negativeUsers=2, metascore=67.0, userScore=39.0}
Juegos{game=''Let''s Golf 3D'', platform='3DS', developer='Gameloft', genre='Sports', numberPlayers='1-2 ', rating='E', releaseDate='Jul 28, 2011', positiveCritics=3, neutralCritics=6, negativeCritics=2, positiveUsers=1, neutralUsers=0, negativeUsers=0, metascore=62.0, userScore=65.0}
Juegos{game='DualPenSports', platform='3DS', developer='Indies Zero ', genre='Sports', numberPlayers='', rating='E10+', releaseDate='Jun 21, 2011', positiveCritics=1, neutralCritics=7, negativeCritics=3, positiveUsers=0, neutralUsers=0, negativeUsers=0, metascore=58.0, userScore=35.0}
Juegos{game='Madden NFL Football', platform='3DS', developer='EA Tiburon', genre='Sports', numberPlayers='6  Online', rating='E', releaseDate='Mar 22, 2011', positiveCritics=0, neutralCritics=11, negativeCritics=7, positiveUsers=1, neutralUsers=5, negativeUsers=0, metascore=49.0, userScore=53.0}
Juegos{game='Football Manager 2013', platform='PC', developer='Sports Interactive', genre='Sports', numberPlayers='', rating='', releaseDate='Nov  1, 2012', positiveCritics=35, neutralCritics=2, negativeCritics=0, positiveUsers=19, neutralUsers=10, negativeUsers=19, metascore=86.0, userScore=68.0}
Juegos{game='FIFA Soccer 13', platform='PC', developer='Electronic Arts', genre='Sports', numberPlayers='', rating='E', releaseDate='Sep 25, 2012', positiveCritics=7, neutralCritics=0, negativeCritics=0, positiveUsers=17, neutralUsers=9, negativeUsers=19, metascore=86.0, userScore=66.0}
Juegos{game='Out of the Park Baseball 13', platform='PC', developer='Out Of The Park Developments', genre='Sports', numberPlayers='', rating='', releaseDate='Apr  9, 2012', positiveCritics=7, neutralCritics=1, negativeCritics=0, positiveUsers=40, neutralUsers=0, negativeUsers=2, metascore=85.0, userScore=78.0}
Juegos{game='NBA 2K13', platform='WIIU', developer='Visual Concepts', genre='Sports', numberPlayers='1 Player', rating='E', releaseDate='Nov 18, 2012', positiveCritics=16, neutralCritics=1, negativeCritics=0, positiveUsers=6, neutralUsers=1, negativeUsers=0, metascore=85.0, userScore=71.0}
Juegos{game='Pro Evolution Soccer 2013', platform='PC', developer='Konami', genre='Sports', numberPlayers='', rating='E', releaseDate='Sep 25, 2012', positiveCritics=6, neutralCritics=2, negativeCritics=0, positiveUsers=17, neutralUsers=3, negativeUsers=2, metascore=80.0, userScore=69.0}
Juegos{game='FIFA Soccer', platform='VITA', developer='Electronic Arts', genre='Sports', numberPlayers='', rating='E', releaseDate='Feb 15, 2012', positiveCritics=38, neutralCritics=7, negativeCritics=0, positiveUsers=16, neutralUsers=5, negativeUsers=0, metascore=79.0, userScore=72.0}
Juegos{game='Virtua Tennis 4: World Tour Edition', platform='VITA', developer='Sega', genre='Sports', numberPlayers='4  Online', rating='E', releaseDate='Feb 15, 2012', positiveCritics=26, neutralCritics=9, negativeCritics=0, positiveUsers=10, neutralUsers=1, negativeUsers=0, metascore=77.0, userScore=79.0}
Juegos{game='MLB 12: The Show', platform='VITA', developer='SCEA San Diego Studios', genre='Sports', numberPlayers='', rating='E', releaseDate='Mar  6, 2012', positiveCritics=10, neutralCritics=5, negativeCritics=0, positiveUsers=15, neutralUsers=1, negativeUsers=0, metascore=76.0, userScore=78.0}
Juegos{game='Hot Shots Golf: World Invitational', platform='VITA', developer='Clap Hanz', genre='Sports', numberPlayers='', rating='E', releaseDate='Feb  7, 2012', positiveCritics=34, neutralCritics=21, negativeCritics=0, positiveUsers=17, neutralUsers=4, negativeUsers=0, metascore=76.0, userScore=81.0}
Juegos{game='Hustle Kings', platform='VITA', developer='VooFoo Studios', genre='Sports', numberPlayers='', rating='E', releaseDate='Feb 21, 2012', positiveCritics=15, neutralCritics=7, negativeCritics=0, positiveUsers=0, neutralUsers=1, negativeUsers=0, metascore=75.0, userScore=74.0}
Juegos{game='Pro Evolution Soccer 2012 3D', platform='3DS', developer='Konami', genre='Sports', numberPlayers='', rating='E', releaseDate='Feb  1, 2012', positiveCritics=4, neutralCritics=5, negativeCritics=0, positiveUsers=2, neutralUsers=0, negativeUsers=0, metascore=73.0, userScore=76.0}
Juegos{game='Mario Tennis Open', platform='3DS', developer='Camelot Software Planning', genre='Sports', numberPlayers='Up to 4 ', rating='E', releaseDate='May 20, 2012', positiveCritics=18, neutralCritics=39, negativeCritics=1, positiveUsers=20, neutralUsers=10, negativeUsers=5, metascore=69.0, userScore=69.0}
Juegos{game='FIFA Manager 13', platform='PC', developer='EA Sports', genre='Sports', numberPlayers='', rating='E', releaseDate='Oct 25, 2012', positiveCritics=4, neutralCritics=7, negativeCritics=1, positiveUsers=5, neutralUsers=3, negativeUsers=4, metascore=68.0, userScore=47.0}
Juegos{game='Pro Cycling Manager Season 2012: Le Tour de France', platform='PC', developer='Cyanide', genre='Sports', numberPlayers='', rating='', releaseDate='Jun 22, 2012', positiveCritics=2, neutralCritics=8, negativeCritics=1, positiveUsers=2, neutralUsers=0, negativeUsers=0, metascore=68.0, userScore=73.0}
Juegos{game='Mario & Sonic at the London 2012 Olympic Games', platform='3DS', developer='Sega, Sega Sports R&D', genre='Sports', numberPlayers='', rating='E', releaseDate='Feb 14, 2012', positiveCritics=5, neutralCritics=22, negativeCritics=1, positiveUsers=4, neutralUsers=3, negativeUsers=3, metascore=66.0, userScore=63.0}
Juegos{game='UEFA Euro 2012', platform='PC', developer='EA Canada', genre='Sports', numberPlayers='', rating='E', releaseDate='Apr 24, 2012', positiveCritics=1, neutralCritics=4, negativeCritics=2, positiveUsers=1, neutralUsers=0, negativeUsers=1, metascore=64.0, userScore=29.0}
Juegos{game='Fun! Fun! Minigolf TOUCH!', platform='3DS', developer=''Shin''en'', genre='Sports', numberPlayers='1-4 ', rating='E', releaseDate='Mar  8, 2012', positiveCritics=1, neutralCritics=9, negativeCritics=1, positiveUsers=3, neutralUsers=0, negativeUsers=2, metascore=61.0, userScore=77.0}
Juegos{game='FIFA Soccer 13', platform='VITA', developer='Electronic Arts', genre='Sports', numberPlayers='', rating='E', releaseDate='Sep 25, 2012', positiveCritics=1, neutralCritics=7, negativeCritics=1, positiveUsers=13, neutralUsers=6, negativeUsers=27, metascore=57.0, userScore=42.0}
Juegos{game='ESPN Sports Connection', platform='WIIU', developer='Ubisoft', genre='Sports', numberPlayers='1-5 ', rating='E', releaseDate='Nov 13, 2012', positiveCritics=0, neutralCritics=0, negativeCritics=13, positiveUsers=1, neutralUsers=1, negativeUsers=3, metascore=31.0, userScore=29.0}
Juegos{game='FIFA 14', platform='PS4', developer='EA Canada', genre='Sports', numberPlayers='Up to 22 ', rating='E', releaseDate='Nov 12, 2013', positiveCritics=26, neutralCritics=0, negativeCritics=0, positiveUsers=43, neutralUsers=22, negativeUsers=39, metascore=87.0, userScore=63.0}
Juegos{game='Out of the Park Baseball 14', platform='PC', developer='Out Of The Park Developments', genre='Sports', numberPlayers='1 Player', rating='', releaseDate='Apr 15, 2013', positiveCritics=7, neutralCritics=1, negativeCritics=0, positiveUsers=25, neutralUsers=2, negativeUsers=2, metascore=86.0, userScore=82.0}
Juegos{game='NBA 2K14', platform='PS4', developer='Visual Concepts', genre='Sports', numberPlayers='Up to 10 ', rating='E', releaseDate='Nov 12, 2013', positiveCritics=19, neutralCritics=1, negativeCritics=0, positiveUsers=23, neutralUsers=12, negativeUsers=31, metascore=85.0, userScore=65.0}
Juegos{game='Football Manager 2014', platform='PC', developer='Sports Interactive', genre='Sports', numberPlayers='', rating='E', releaseDate='Oct 30, 2013', positiveCritics=40, neutralCritics=1, negativeCritics=0, positiveUsers=17, neutralUsers=10, negativeUsers=55, metascore=85.0, userScore=56.0}
Juegos{game='FIFA Soccer 12', platform='PC', developer='Electronic Arts', genre='Sports', numberPlayers='', rating='E', releaseDate='Sep 27, 2011', positiveCritics=14, neutralCritics=0, negativeCritics=0, positiveUsers=33, neutralUsers=8, negativeUsers=10, metascore=89.0, userScore=71.0}
Juegos{game='Football Manager 2012', platform='PC', developer='Sports Interactive', genre='Sports', numberPlayers='', rating='E', releaseDate='Oct 20, 2011', positiveCritics=43, neutralCritics=2, negativeCritics=0, positiveUsers=22, neutralUsers=5, negativeUsers=4, metascore=84.0, userScore=79.0}
Juegos{game='Pro Evolution Soccer 2012', platform='PC', developer='Konami', genre='Sports', numberPlayers='', rating='', releaseDate='Sep 27, 2011', positiveCritics=8, neutralCritics=5, negativeCritics=0, positiveUsers=8, neutralUsers=2, negativeUsers=4, metascore=77.0, userScore=65.0}
Juegos{game='Pro Evolution Soccer 2011 3D', platform='3DS', developer='Konami', genre='Sports', numberPlayers='', rating='E', releaseDate='Mar 25, 2011', positiveCritics=19, neutralCritics=24, negativeCritics=0, positiveUsers=3, neutralUsers=4, negativeUsers=0, metascore=73.0, userScore=69.0}
