Juegos{game='Edna & Harvey: The Breakout', platform='PC', developer='Daedalic Entertainment', genre='Adventure', numberPlayers='1 Player', rating='T', releaseDate='Jan  3, 2011', positiveCritics=0, neutralCritics=6, negativeCritics=1, positiveUsers=4, neutralUsers=4, negativeUsers=0, metascore=56.0, userScore=65.0}
Juegos{game='DC Universe Online', platform='PC', developer='WBIE', genre='Role-Playing', numberPlayers='Massively Multiplayer', rating='T', releaseDate='Jan 11, 2011', positiveCritics=13, neutralCritics=13, negativeCritics=1, positiveUsers=53, neutralUsers=23, negativeUsers=31, metascore=72.0, userScore=68.0}
Juegos{game='Bloodline Champions', platform='PC', developer='Stunlock Studios', genre='Action', numberPlayers='', rating='', releaseDate='Jan 13, 2011', positiveCritics=12, neutralCritics=1, negativeCritics=0, positiveUsers=23, neutralUsers=9, negativeUsers=5, metascore=79.0, userScore=77.0}
Juegos{game='Atom Zombie Smasher', platform='PC', developer='Blendo Games', genre='Strategy', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Jan 23, 2011', positiveCritics=4, neutralCritics=3, negativeCritics=0, positiveUsers=30, neutralUsers=3, negativeUsers=7, metascore=75.0, userScore=71.0}
Juegos{game='Monday Night Combat', platform='PC', developer='Uber Entertainment', genre='Action', numberPlayers='1 Player', rating='T', releaseDate='Jan 24, 2011', positiveCritics=9, neutralCritics=1, negativeCritics=0, positiveUsers=10, neutralUsers=8, negativeUsers=4, metascore=82.0, userScore=73.0}
Juegos{game='Dead Space 2', platform='PC', developer='Visceral Games', genre='Action', numberPlayers='', rating='M', releaseDate='Jan 25, 2011', positiveCritics=27, neutralCritics=1, negativeCritics=0, positiveUsers=128, neutralUsers=31, negativeUsers=12, metascore=87.0, userScore=84.0}
Juegos{game='Magicka', platform='PC', developer='Arrowhead Game Studios', genre='Action Adventure', numberPlayers='', rating='T', releaseDate='Jan 25, 2011', positiveCritics=26, neutralCritics=17, negativeCritics=1, positiveUsers=108, neutralUsers=43, negativeUsers=26, metascore=74.0, userScore=76.0}
Juegos{game='Venetica', platform='PC', developer='Deck 13', genre='Role-Playing', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Jan 25, 2011', positiveCritics=2, neutralCritics=13, negativeCritics=2, positiveUsers=6, neutralUsers=6, negativeUsers=2, metascore=61.0, userScore=68.0}
Juegos{game='Breach (2011)', platform='PC', developer='Atomic Games', genre='Action', numberPlayers='', rating='T', releaseDate='Jan 26, 2011', positiveCritics=2, neutralCritics=8, negativeCritics=2, positiveUsers=13, neutralUsers=6, negativeUsers=8, metascore=61.0, userScore=58.0}
Juegos{game='Crasher', platform='PC', developer='Punchers Impact', genre='Simulation', numberPlayers='', rating='', releaseDate='Jan 28, 2011', positiveCritics=1, neutralCritics=5, negativeCritics=2, positiveUsers=0, neutralUsers=1, negativeUsers=0, metascore=55.0, userScore=70.0}
Juegos{game=''Who''s That Flying?!'', platform='PC', developer='Mediatonic', genre='Action', numberPlayers='', rating='', releaseDate='Jan 31, 2011', positiveCritics=4, neutralCritics=3, negativeCritics=0, positiveUsers=2, neutralUsers=0, negativeUsers=0, metascore=76.0, userScore=67.0}
